Attack,MSE,Cost_$,dMSE_%,dCost_%,Online_OPF_solves
No attack,0.065061009237668,440.1713360309118,0.0,0.0,0
FGSM,0.07684172538581001,439.87134110481225,18.10718322107028,-0.06815412580124525,0
PGD,0.07701056046930642,439.7509436284231,18.36668593317803,-0.09550653758588767,0
SPGA,0.06947235650087925,449.7462163884481,6.780324060293297,2.175262124943078,1
CB-SPGA,0.06947085535450069,449.7450357349521,6.77801676995744,2.174993899050248,0
